Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
V. Ulloa,Inter Miami,"RB, AMF",29,800000,,411,Mexico,"Mexico, USA",right,183,72,no,7.45,7.01,65.63,3.5,37.5,0.26,0.44,3.08,1.53,0.03,0,0.44,0.22,100,0.66,66.67,2.85,0.22,0.44,0.22,25.84,1.31,0.66,35.04,86.88,13.8,77.78,4.82,10.29,31.53,3.28,53.33,15.91,0,0,6.57,73.33,0.44,100,0.44,0.22,6.57,86.67,0
B. Smith,Seattle Sounders,"LWB, LB",27,800000,,420,Australia,"Australia, England",left,177,70,no,6.64,5.57,61.54,1.5,42.86,0.28,0.21,3.89,1.5,0.6,0.43,3.21,3.43,25,1.07,60,3,3.43,1.93,1.07,27.43,3.64,0.43,34.71,64.81,8.36,58.97,6.21,13.71,30,1.29,0,18.75,0.11,0.86,3.64,47.06,3.43,37.5,1.07,0.86,7.29,61.76,0
D. Jones,New England,LB,23,800000,,448,USA,USA,left,175,75,no,11.25,8.44,66.67,4.02,60,0.74,0.2,6.2,1.21,0,0,0,1.81,55.56,3.21,50,5.83,1.61,1,0.4,30.94,2.01,1,42.19,80.48,15.07,69.33,7.63,12.25,38.17,2.21,45.45,17.91,0.05,0.6,3.62,83.33,2.61,46.15,0.8,0.8,9.84,73.47,0
B. Bye,New England,RB,25,800000,,516,USA,USA,right,183,80,no,12.03,8.72,70,6.28,69.44,0.22,0.17,7.17,0.87,0.18,0.17,1.05,4.53,15.38,2.79,62.5,5.58,1.92,1.57,0.35,29.48,2.44,0.52,43.43,73.49,19.53,69.64,4.53,13.6,36.63,2.27,38.46,19.95,0.03,0.52,4.88,82.14,4.36,36,0.52,0.87,13.08,70.67,0
K. Paredes,DC United,"LWB, AMF",18,800000,,33,USA,"USA, Dominican Republic",left,168,54,no,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,22.87,,,,,,,,,,,0
J. Mora,DC United,"LWB, DMF, LB",28,800000,,366,Costa Rica,Costa Rica,left,175,60,no,12.54,7.87,59.38,1.72,0,2.05,0.25,8.86,1.48,0.05,0,0.49,2.21,33.33,3.44,35.71,8.36,0.74,0.98,1.48,16.23,2.7,0.49,28.28,67.83,13.28,53.7,3.69,5.16,22.13,3.93,37.5,20.95,0.01,0.25,5.41,54.55,1.72,57.14,0.49,0.74,6.39,57.69,0
João Moutinho,Orlando City,"LB, LAMF, LW",23,800000,,157,Portugal,Portugal,left,183,71,no,4.01,3.44,16.67,1.72,100,0.83,0.57,4.17,1.72,0,0,0,1.15,50,2.29,25,4.59,0,0,0.57,37.26,0.57,1.15,49.87,72.41,25.8,66.67,5.16,12.04,41.85,6.88,33.33,19.31,0.05,1.15,5.16,33.33,1.15,50,0,0.57,12.04,66.67,0
J. Espinoza,Chicago Fire,"RB, LB",22,800000,2023-12-31,60,Ecuador,Ecuador,right,177,70,no,10.5,16.5,54.55,6,75,0,0,2.5,1.5,0.14,0,1.5,6,25,7.5,80,10.5,3,6,0,40.5,9,1.5,48,78.13,15,70,3,21,40.5,1.5,100,17.81,0,0,1.5,0,4.5,33.33,0,1.5,7.5,100,0
C. Gutiérrez,Vancouver Whitecaps,LB,24,800000,2021-12-31,582,Canada,"Canada, Chile",left,181,65,no,10.67,8.51,60,1.7,18.18,0.95,0.15,5.89,0.46,0,0,0,1.55,0,1.39,44.44,2.78,0.62,1.24,0,30.15,1.86,0.31,39.28,85.83,10.52,75,8.51,14.69,33.4,4.33,57.14,19.76,0.19,1.7,3.87,76,1.39,0,0,0,6.96,68.89,0
L. Lappalainen,CF Montréal,"LWB, CF",22,800000,2024-06-30,250,Finland,Finland,right,184,80,yes,7.56,4.32,58.33,1.8,80,0,0,5.83,0,0.21,0,2.16,1.44,25,5.4,60,10.08,3.24,4.32,1.8,22.32,2.16,0.72,32.4,84.44,5.4,80,8.64,11.88,30.24,0.72,50,15.8,0.01,0.72,2.52,71.43,1.8,40,1.08,0.36,5.04,92.86,0
Z. Brault-Guillard,CF Montréal,RWB,22,800000,2021-12-31,342,France,"France, Canada",right,171,66,no,4.47,3.16,58.33,1.58,16.67,0,0,3.09,1.32,0.02,0,0.53,6.32,25,2.63,40,5.79,1.32,2.37,2.63,28.16,2.63,0.53,36.32,81.16,7.11,77.78,11.32,11.84,27.63,3.16,75,21.33,0.22,1.32,3.16,83.33,5,26.32,0.79,2.11,6.05,82.61,0
Z. Valentin,Houston Dynamo,"RB, LB",29,750000,2022-12-31,487,USA,"USA, Puerto Rico",right,183,73,no,10.53,7.58,70.73,3.51,57.89,0.44,0.18,5.69,0.37,0,0,0,0.55,66.67,0.37,100,0.74,0.18,0.18,0.18,22.18,1.48,0.37,31.97,75.14,14.78,66.25,3.33,9.43,26.43,5.17,35.71,21.89,0.04,0.55,6.28,50,1.11,50,0.18,0.37,8.87,68.75,0
F. Valot,New York RB,"RWB, RCMF",28,700000,,93,France,France,right,175,69,no,12.58,12.58,69.23,0,0,1.3,0,3.91,0.97,0,0,0,3.87,0,1.94,50,3.87,2.9,0,0,24.19,1.94,0,38.71,60,11.61,33.33,12.58,12.58,30.97,3.87,25,19.52,0,0,7.74,50,4.84,0,0.97,0,5.81,33.33,0
Mun-Hwan Kim,Los Angeles FC,RB,25,700000,2021-12-31,43,Korea Republic,Korea Republic,right,172,64,no,,,,,,8.57,,8.57,,,,,,,,,,,,,,,,,,,,,,,,,15.39,,,,,,,,,,,0
J. Nerwinski,Vancouver Whitecaps,RB,26,700000,2022-12-31,449,USA,USA,right,183,79,no,10.22,7.62,60.53,1.2,66.67,0.75,1,6.25,0.8,0.04,0,0.4,0.6,0,2.2,63.64,6.21,0.6,0.2,0.6,22.85,2,0.6,34.48,80.23,11.02,61.82,8.02,9.62,30.87,3.21,37.5,17.06,0,0,3.21,43.75,1,20,0.4,0,6.41,50,0
B. Sekulić,Chicago Fire,RB,29,650000,2022-12-31,483,Serbia,"Serbia, Slovakia",right,187,82,no,8.94,8.57,60.87,5.22,39.29,0.26,0.75,4.87,1.12,0.01,0,0.37,3.54,31.58,2.8,73.33,7.08,2.05,1.3,1.3,28.32,2.61,0.75,44.72,76.67,15.84,67.06,5.78,12.67,35.96,5.22,46.43,17.41,0.26,0.93,5.4,58.62,3.73,50,1.49,1.49,9.13,67.35,0
